id,user_id,movie_id,last_watched_at,createdAt,updatedAt,__v
history-ytyr2s5f,user-nelojo4i,th-m-t-l-ng-danh-conan-movie-26-t-u-ng-m-s-t-m-u-en,2025-11-25 04:23:25.054,2025-11-25 04:23:25.059,2025-11-25 04:23:25.059,0
history-mi9o3ml9,user-nelojo4i,josee-khi-n-ng-th-y-u,2025-11-25 09:29:00.471,2025-11-25 09:29:00.475,2025-11-25 09:29:00.475,0
history-xvz4u1lw,admin-user,th-m-t-l-ng-danh-conan-movie-26-t-u-ng-m-s-t-m-u-en,2025-11-26 01:01:42.763,2025-11-26 01:01:42.766,2025-11-26 01:01:42.766,0
history-pzhobngc,user-e2vyx3ge,ng-h-m-t-i-m-a-h-l-i-tho-t-c-a-bi-t-ly,2025-11-26 02:02:56.676,2025-11-26 02:02:56.676,2025-11-26 02:02:56.676,0
history-98goo51w,user-e2vyx3ge,g-qu-n-tr,2025-11-26 02:59:30.115,2025-11-26 02:59:30.121,2025-11-26 02:59:30.121,0
history-fs4ufc7f,user-e2vyx3ge,avengers-ch-ultron,2025-11-26 03:17:53.974,2025-11-26 03:17:53.979,2025-11-26 03:17:53.979,0
history-lhfkxd78,user-e2vyx3ge,josee-khi-n-ng-th-y-u,2025-11-26 03:18:27.189,2025-11-26 03:18:27.190,2025-11-26 03:18:27.190,0
history-3sk86cqn,user-e2vyx3ge,cu-c-phi-u-l-u-trong-gi-c-m-ng,2025-11-26 03:19:05.621,2025-11-26 03:19:05.621,2025-11-26 03:19:05.621,0
history-znclefjl,user-nelojo4i,th-tr-n-baramulla,2025-11-26 03:22:06.726,2025-11-26 03:22:06.726,2025-11-26 03:22:06.726,0
history-la1fpk6j,user-nelojo4i,c-m-y-nghi-n,2025-11-26 03:56:04.276,2025-11-26 03:56:04.277,2025-11-26 03:56:04.277,0
history-vcbv8xyi,user-nelojo4i,doraemon-movie-44-nobita-v-cu-c-phi-u-l-u-v-o-th-gi-i-trong-tranh,2025-11-26 04:06:55.558,2025-11-26 04:06:55.558,2025-11-26 04:06:55.558,0
history-6ilux9y3,user-nelojo4i,chi-n-binh-b-o-en,2025-11-26 04:09:50.844,2025-11-26 04:09:50.844,2025-11-26 04:09:50.844,0
